month_year,Africa,Asia,Europe,North America,Oceania,South America
2020-01,,21.186,0.391,0.126,0.349,
2020-02,0.037,191.281,95.324,0.843,0.8160000000000001,0.11399999999999999
2020-03,457.104,3403.727,53115.501000000004,4968.817,490.415,542.233
2020-04,2976.923,17203.572,68768.278,11856.917,351.515,7674.819
2020-05,10200.726,43241.64,24740.108,9392.123,32.526,14069.457
2020-06,13579.426,53966.201,21990.279,16175.774,46.873,22628.418
2020-07,20830.586,61333.606,35462.694,31724.974,389.718,28547.723
2020-08,17527.708,48945.618,55420.809,62949.391,2225.591,40010.029
2020-09,16661.365,64974.876000000004,96169.988,64387.734,4621.667,34392.188
2020-10,20851.411,83896.48,363928.143,49756.635,19335.905,30811.39
2020-11,21242.501,114057.311,553571.386,62278.795,25487.021,26205.52
2020-12,29568.915,113054.12,565016.019,104781.02,9208.443,38091.023
2021-01,57617.19,104837.331,530565.452,116806.749,4201.407,58628.475
2021-02,41556.546,95858.16100000001,343121.982,88366.374,1634.084,43082.327
2021-03,46097.955,136591.564,502484.229,94736.28,36973.587,63081.602
2021-04,54132.101,173022.837,368827.586,155997.817,5811.048,100592.253
2021-05,85999.476,202312.774,163314.205,65823.527,1491.9,111450.293
2021-06,88746.824,127582.293,61340.956,57824.187,5060.492,107799.96399999999
2021-07,114721.338,145903.734,224463.757,161809.975,32030.95,54292.137
2021-08,105890.822,223735.838,293146.488,211616.802,91073.422,30831.535
2021-09,62892.102,216898.724,300127.463,322272.764,32657.644,39433.942
2021-10,33849.858,212193.217,475090.344,240843.007,36720.131,29015.57
2021-11,48636.371,147990.049,817873.384,253682.435,7913.506,22393.993
2021-12,100935.419,110965.12299999999,1135304.277,290566.044,15007.586000000001,31083.146
2022-01,238303.989,657926.718,3425576.029,1537173.5,223882.92299999998,321488.797
2022-02,50610.472,865345.08,2672574.462,413407.599,379330.037,170623.356
2022-03,2876.56,168120.34,312261.859,24066.461,51044.651,13777.223
